model,share_rate_1,avg_price_1,consumer_surplus_1,firm_profit_1,social_welfare_1,avg_search_cost_1,share_rate_2,avg_price_2,consumer_surplus_2,firm_profit_2,social_welfare_2,avg_search_cost_2,share_rate_3,avg_price_3,consumer_surplus_3,firm_profit_3,social_welfare_3,avg_search_cost_3,share_rate_4,avg_price_4,consumer_surplus_4,firm_profit_4,social_welfare_4,avg_search_cost_4,share_rate_5,avg_price_5,consumer_surplus_5,firm_profit_5,social_welfare_5,avg_search_cost_5,share_rate_6,avg_price_6,consumer_surplus_6,firm_profit_6,social_welfare_6,avg_search_cost_6,share_rate_7,avg_price_7,consumer_surplus_7,firm_profit_7,social_welfare_7,avg_search_cost_7,share_rate_8,avg_price_8,consumer_surplus_8,firm_profit_8,social_welfare_8,avg_search_cost_8,share_rate_9,avg_price_9,consumer_surplus_9,firm_profit_9,social_welfare_9,avg_search_cost_9,share_rate_10,avg_price_10,consumer_surplus_10,firm_profit_10,social_welfare_10,avg_search_cost_10
deepseek-v3.2,0.9,0.5,1.5216003912817382,3.5,5.021600391281738,0.0,1.0,0.4,2.597719322281568,3.6,6.197719322281568,0.002,1.0,0.30000000000000004,3.9986515043125386,2.9000000000000004,6.898651504312539,0.0,1.0,0.237075,5.432700772695106,2.5333,7.966000772695105,0.0,1.0,0.15622,6.7461233273807775,1.4936,8.239723327380778,0.0,1.0,0.15980000000000003,7.006172660274685,1.5192,8.525372660274686,0.0,1.0,0.14295714285714284,7.291893586955358,1.354,8.645893586955358,0.0,1.0,0.1261875,7.696512469772969,1.1688,8.86531246977297,0.0,1.0,0.11931111111111109,7.784212469772969,1.0811,8.865312469772968,0.0,1.0,0.10238,7.905112469772969,0.9602,8.865312469772968,0.0
gemini-3-flash-preview,1.0,0.499,1.4776151069084902,3.4930000000000003,4.9706151069084905,0.0,0.4,0.795,-0.03075611117578947,2.39,2.359243888824211,0.016,0.5,0.298,3.8578441928050893,2.9770000000000003,6.83484419280509,0.01,1.0,0.28875,4.911000772695104,3.055,7.966000772695104,0.0,1.0,0.00474,8.194223327380778,0.0455,8.239723327380778,0.0,1.0,0.00395,8.468172660274684,0.037200000000000004,8.505372660274684,0.002,1.0,0.17585714285714285,6.990893586955359,1.655,8.645893586955358,0.0,1.0,0.15475,7.417312469772968,1.448,8.865312469772968,0.0,1.0,0.13694444444444442,7.580312469772968,1.265,8.845312469772969,0.002,1.0,0.12600000000000003,7.695312469772969,1.17,8.86531246977297,0.0
gpt-5-mini-2025-08-07,0.4,0.499,1.7111785116025442,3.4930000000000003,5.204178511602544,0.0,0.1,0.795,0.1518092693953079,1.6,1.751809269395308,0.006,0.4,0.5796666666666667,1.6463426166922517,3.838,5.484342616692252,0.004,0.5,0.4525,2.2161767495931493,3.48,5.69617674959315,0.002,0.7,0.35200000000000004,3.71301683117548,3.08,6.79301683117548,0.002,0.6,0.3115,4.727011519924203,2.449,7.176011519924203,0.0,0.7,0.43999999999999995,3.7128103748634014,3.6,7.3128103748634015,0.002,1.0,0.0030125000000000004,8.837412469772968,0.0279,8.865312469772968,0.0,1.0,0.0002332222222222222,8.862966469772969,0.002346,8.865312469772968,0.0,1.0,0.19177,7.049912469772968,1.8154000000000001,8.865312469772968,0.0
qwen-plus,1.0,0.5,1.4706151069084903,3.5,4.9706151069084905,0.0,1.0,0.795,-0.5048839060925433,3.97,3.465116093907457,0.016,1.0,0.6000000000000001,1.2405815137904974,4.4,5.640581513790497,0.019999999999999997,1.0,0.47557499999999997,3.15162425000177,4.0136,7.165224250001771,0.019999999999999997,1.0,0.3905,4.437065409792601,3.6425,8.0795654097926,0.008,1.0,0.33140000000000003,5.577820294309649,2.6392,8.217020294309648,0.012,1.0,0.2872142857142857,6.214778894496041,2.2144,8.42917889449604,0.008,1.0,0.2535625,6.8317977773136525,1.7968,8.628597777313653,0.01,1.0,0.22824444444444447,7.134697777313652,1.4939,8.62859777731365,0.01,1.0,0.20616000000000004,7.381597777313652,1.267,8.648597777313652,0.008
rational,0.3,0.5,1.7905532245058877,3.5,5.290553224505888,0.0,0.8,0.5547950686867551,1.2890704176663181,4.993155618180796,6.282226035847114,0.004,1.0,0.6299609534767533,0.20498735644598765,1.88988286043026,2.094870216876248,0.0,1.0,0.6687402762143707,1.3236390010891546,6.018662485929337,7.342301487018491,0.0,1.0,0.698827744273689,2.4336884164653148,11.181243908379024,13.61493232484434,0.0,1.0,0.7230211101001905,1.362367993315862,6.507189990901715,7.869557984217577,0.0,1.0,0.7429974710404722,1.2159188765506364,7.429974710404722,8.645893586955358,0.0,1.0,0.7598364355807592,1.2669481139653767,7.5983643558075915,8.865312469772968,0.0,1.0,0.7742622144370545,1.122690325402424,7.742622144370545,8.865312469772968,0.0,1.0,0.7867939286660706,0.997373183112263,7.867939286660706,8.865312469772968,0.0
